,Name,Category,Year,Profession,Place,Gender,Birthdate,Age,Description,Link,Country
390,Daniel Day-Lewis,ICONS,2013,Actor,Kensington,Male,1957-04-29,63,"Sir Daniel Michael Blake Day-Lewis is a retired English actor with dual British and Irish citizenship. One of the most respected actors of his generation, he has also been hailed as one of the greatest actors in cinematic history. ",content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/daniel-day-lewis/,Null
391,Kate Middleton,ICONS,2013,Null,"Cambridge, United Kingdom",Female,,0,"Catherine, Duchess of Cambridge, GCVO, is a member of the British royal family. Her husband, Prince William, Duke of Cambridge, is second in the line of succession to the British throne, making Catherine a likely future queen consort. ",content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/kate-middleton/,United Kingdom
392,Michelle Obama,ICONS,2013,Former First Lady of the United States,"Chicago, IL",Female,1964-01-17,56,"Michelle LaVaughn Robinson Obama is an American attorney and author who was the First Lady of the United States from 2009 to 2017. She is married to the 44th president of the United States, Barack Obama, and was the first African-American First Lady. ",content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/michelle-obama/,USA
393,Li Na,ICONS,2013,Chinese tennis player,"Wuhan, China",Female,1982-02-26,38,"Li Na is a retired Chinese tennis player. She achieved a career-high WTA ranking of world No. 2 on 17 February 2014. Over the course of her career, Li won nine WTA Tour singles titles including two Grand Slam singles titles at the 2011 French Open and 2014 Australian Open. ",content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/li-na/,China
394,Kanye West,TITANS,2015,American rapper,"Atlanta, GA",Male,1977-06-08,43,"Kanye Omari West is an American rapper, record producer, and fashion designer. He has been influential in the 21st-century development of mainstream hip hop and popular music in general. ",https://time.com/collection-post/3822841/kanye-west-2015-time-100/,USA
395,Lorne Michaels,TITANS,2015,American-Canadian television producer,"Toronto, Canada",Unknown,1944-11-17,76,"Lorne Michaels CC is a Canadian-American television producer and screenwriter best known for creating and producing Saturday Night Live and producing the Late Night series, The Kids in the Hall and The Tonight Show. ",https://time.com/collection-post/3822845/lorne-michaels-2015-time-100/,Canada
396,Mellody Hobson,TITANS,2015,American businesswoman,"Chicago, IL",Female,1969-04-03,51,"Mellody Hobson is an American businesswoman who is the president and co-CEO of Ariel Investments. She is the former chairwoman of DreamWorks Animation, having stepped down after negotiating the acquisition of DreamWorks Animation SKG, Inc., by NBCUniversal in August, 2016. ",https://time.com/collection-post/3822587/mellody-hobson-2015-time-100/,USA
397,Tim Cook,TITANS,2015,Chief Executive Officer of Apple,"Mobile, AL",Male,1960-11-01,60,"Timothy Donald Cook is an American business executive, philanthropist and engineer. Cook is the chief executive officer of Apple Inc., and previously served as the company's chief operating officer under its cofounder Steve Jobs. ",https://time.com/collection-post/3822599/tim-cook-2015-time-100/,USA
398,Elizabeth Holmes,TITANS,2015,American businesswoman,"Washington, D.C.",Female,1984-02-03,36,"Elizabeth Anne Holmes is an American businesswoman who founded and was the CEO of Theranos, a now-defunct health technology company. ",https://time.com/collection-post/3822734/elizabeth-holmes-2015-time-100/,D.C.
399,Charles Koch,TITANS,2015,Chief Executive Officer of Koch Industries,"Wichita, KS",Male,1935-11-01,85,"Charles de Ganahl Koch is an American businessman and philanthropist. As of March 2019, he was ranked as the 11th-richest person in the world, with an estimated net worth of $50.5 billion. ",https://time.com/collection-post/3822767/charles-koch-david-koch-2015-time-100/,USA
400,Susan Wojcicki,TITANS,2015,CEO of YouTube,"Santa Clara County, CA",Female,1968-07-05,52,"Susan Diane Wojcicki is the CEO of YouTube. She is the longest tenured CEO in the history of YouTube. Wojcicki was involved in the founding of Google, and became Google's first marketing manager in 1999. She later led the company's online advertising business and was put in charge of Google's original video service. ",https://time.com/collection-post/3822770/susan-wojcicki-2015-time-100/,USA
401,Chanda Kochhar,TITANS,2015,Executive,"Jodhpur, India",Female,1961-11-17,59,"Chanda Kochhar was the managing director and chief executive officer of ICICI Bank. However, on 4 October 2018 she stepped down from her position following allegations of corruption. Amidst investigations related to Videocon bad loans, she was forced by the board of ICICI Bank to take indefinite leave. ",https://time.com/collection-post/3822610/chanda-kochhar-2015-time-100/,India
402,Tony Fernandes,TITANS,2015,Entrepreneur,"Kuala Lumpur, Malaysia",Male,1964-04-30,56,"Anthony Francis Fernandes PSM, CBE is a Malaysian entrepreneur. He is the founder of Tune Air Sdn. Bhd., who introduced the first budget no-frills airline, AirAsia, to Malaysians with the tagline ""Now everyone can fly"". ",https://time.com/collection-post/3822614/tony-fernandes-2015-time-100/,Malaysia
403,Lee Daniels,TITANS,2015,American film writer,"Philadelphia, PA",Unknown,1959-12-24,60,"Lee Daniels is an American film and television writer, director, and producer. Daniels produced 2001’s Academy Award winning Monster's Ball. ",https://time.com/collection-post/3822623/lee-daniels-2015-time-100/,USA
404,Reid Hoffman,TITANS,2015,American entrepreneur,"Palo Alto, CA",Male,1967-08-05,53,"Reid Garrett Hoffman is an American internet entrepreneur, venture capitalist and author. Hoffman was the co-founder and executive chairman of LinkedIn, a business-oriented social network used primarily for professional networking. He is currently a partner at the venture capital firm Greylock Partners. ",https://time.com/collection-post/3822665/reid-hoffman-2015-time-100/,USA
405,Kim Kardashian West,TITANS,2015,American socialite,"Los Angeles, CA",Female,1980-10-21,40,"Kimberly Noel Kardashian West is an American media personality, socialite, model, businesswoman, producer, and actress. ",https://time.com/collection-post/3822676/kim-kardashian-west-2015-time-100/,USA
406,Janet Yellen,TITANS,2015,Former Chair of the Federal Reserve,"Brooklyn, New York, NY",Female,1946-08-13,74,"Janet Louise Yellen is an American economist who is currently a distinguished fellow at the Brookings Institution and a professor emeritus at Haas School of Business at the University of California, Berkeley. ",https://time.com/collection-post/3822773/janet-yellen-2015-time-100/,USA
407,Danny Meyer,TITANS,2015,Restaurateur,"St. Louis, MO",Unknown,1958-03-14,62,Daniel Meyer is a New York City restaurateur and the Chief Executive Officer of the Union Square Hospitality Group. ,https://time.com/collection-post/3822803/danny-meyer-2015-time-100/,USA
408,Lei Jun,TITANS,2015,Chinese entrepreneur,"Xiantao, China",Unknown,1969-12-16,50,"Lei Jun is a Chinese billionaire entrepreneur, investor and philanthropist who co-founded Xiaomi, one of the largest smartphone and consumer electronics companies in the world that in June 2018 raised US$4.72 billion after its listing at the Hong Kong Stock Exchange. ",https://time.com/collection-post/3822814/lei-jun-2015-time-100/,China
409,Bob Iger,TITANS,2015,Chairman of Disney,"New York, NY",Male,1951-02-10,69,"Robert Allen Iger is an American business executive who is Executive Chairman of The Walt Disney Company. Before working for Disney, Bob served as the President of ABC Television from 1994 to 1995, and as President/COO of Capital Cities/ABC, Inc. from 1995 until Disney's acquisition of the company in 1996. ",https://time.com/collection-post/3822742/bob-iger-2015-time-100/,USA
410,Satya Nadella,TITANS,2015,Chief Executive Officer of Microsoft,"Hyderabad, India",Male,1967-08-19,53,"Satya Narayana Nadella is an Indian-American business executive. He is the chief executive officer of Microsoft, succeeding Steve Ballmer in 2014. Before becoming CEO, he was the executive vice president of Microsoft's cloud and enterprise group, responsible for building and running the company's computing platforms. ",https://time.com/collection-post/3822749/satya-nadella-2015-time-100/,India
411,Jorge Paulo Lemann,TITANS,2015,Banker,"Rio de Janeiro, Brazil",Unknown,1939-08-26,81,"Jorge Paulo Lemann is a Brazilian billionaire investment banker, and businessman with dual Brazilian and Swiss citizenship. As of October 2019, Lemann was ranked 37th richest in the world by Forbes, with an estimated net worth of US$24.6 billion. ",https://time.com/collection-post/3822760/jorge-paulo-lemann-2015-time-100/,Brazil
412,Misty Copeland,TITANS,2015,American ballet dancer,"Kansas City, MO",Female,1982-09-10,38,"Misty Danielle Copeland is an American ballet dancer for American Ballet Theatre, one of the three leading classical ballet companies in the United States. On June 30, 2015, Copeland became the first African American woman to be promoted to principal dancer in ABT's 75-year history. ",https://time.com/collection-post/3823308/misty-copeland-2015-time-100/,USA
413,Scott Kelly,PIONEERS,2015,American astronaut,"City of Orange, NJ",Male,1964-02-21,56,"Scott Joseph Kelly is an American engineer, retired astronaut, and naval aviator. A veteran of four space flights, Kelly commanded the International Space Station on Expeditions 26, 45, and 46. Kelly's first spaceflight was as pilot of Space Shuttle Discovery during STS-103 in December 1999. ",https://time.com/collection-post/3823314/scott-kelly-2015-time-100/,USA
414,Emmanuelle Charpentier,PIONEERS,2015,French professor,"Juvisy-sur-Orge, France",Female,1968-12-11,51,"Emmanuelle Marie Charpentier is a French professor and researcher in microbiology, genetics and biochemistry. Since 2015, she has been a Director at the Max Planck Institute for Infection Biology in Berlin. In 2018, she founded an independent research institute, the Max Planck Unit for the Science of Pathogens. ",https://time.com/collection-post/3822554/emmanuelle-charpentier-jennifer-doudna-2015-time-100/,France
415,Brian Chesky,PIONEERS,2015,"CEO of Airbnb, Inc.","Niskayuna, NY",Male,1981-08-29,39,"Brian Joseph Chesky is an American businessman and industrial designer. He is the co-founder and CEO of the peer-to-peer lodging service Airbnb. Chesky was named one of Time's ""100 Most Influential People of 2015"". ",https://time.com/collection-post/3822568/brian-chesky-2015-time-100/,USA
416,Jimmy Lai,PIONEERS,2015,Entrepreneur,"Guangzhou, China",Male,1948-12-08,71,"Lai Chee-Ying, also known as Jimmy Lai, is a Hong Kong entrepreneur and social activist. He founded Giordano, an Asian clothing retailer, Next Digital, a Hong Kong-listed media company, and the popular newspaper Apple Daily. ",https://time.com/collection-post/3823046/jimmy-lai-2015-time-100/,China
417,Emma Watson,PIONEERS,2015,Actress,"Paris, France",Female,1990-04-15,30,"Emma Charlotte Duerre Watson is an English actress, model, and activist. Born in Paris and raised in Oxfordshire, Watson attended the Dragon School and trained as an actress at the Oxford branch of Stagecoach Theatre Arts. ",https://time.com/collection-post/3823057/emma-watson-2015-time-100/,France
418,Vikram Patel,PIONEERS,2015,Indian psychiatrist,"Mumbai, India",Male,1964-05-05,56,Vikram Harshad Patel FMedSci is an Indian psychiatrist and researcher best known for his work on child development and mental disability in low-resource settings. ,https://time.com/collection-post/3822953/vikram-patel-2015-time-100/,India
419,Pardis Sabeti,PIONEERS,2015,American-Iranian computational biologist,"Tehran, Iran",Unknown,1975-12-25,44,"Pardis Christine Sabeti is an Iranian-American computational biologist, medical geneticist and evolutionary geneticist. ",https://time.com/collection-post/3822958/pardis-sabeti-2015-time-100/,Iran
420,Reese Witherspoon,PIONEERS,2015,American actress,"New Orleans, LA",Female,1976-03-22,44,"Laura Jeanne Reese Witherspoon is an American actress, producer, and entrepreneur. The recipient of various accolades, including an Academy Award, two Golden Globe Awards, and a Primetime Emmy Award, she is one of the highest-paid actresses in the world as of 2019. ",https://time.com/collection-post/3822959/reese-witherspoon-2015-time-100/,USA
421,Bryan Stevenson,PIONEERS,2015,American lawyer,"Milton, DE",Male,1959-11-14,61,"Bryan Stevenson is an American lawyer, social justice activist, founder/executive director of the Equal Justice Initiative, and a law professor at New York University School of Law. ",https://time.com/collection-post/3823265/bryan-stevenson-2015-time-100/,USA
422,Chai Jing,PIONEERS,2015,Chinese journalist,"Linfen, China",Female,1976-01-01,44,"Chai Jing is a Chinese journalist, former television host, author and environmental activist. In 1995, Chai began her broadcast career as a radio host in Hunan Province. From 2001 to 2013, she worked for China Central Television as a well respected investigative reporter and host. ",https://time.com/collection-post/3823269/chai-jing-2015-time-100/,China
423,Magnus MacFarlane-Barrow,PIONEERS,2015,Null,"Aberdeen, United Kingdom",Male,1905-05-21,52,Null,https://time.com/collection-post/3823271/magnus-macfarlane-barrow-2015-time-100/,United Kingdom
424,Kira Orange Jones,PIONEERS,2015,Null,,Female,,0,Null,https://time.com/collection-post/3822936/kira-orange-jones-2015-time-100/,Null
425,Aura Elena Farfán,PIONEERS,2015,Guatemalan human rights activists,"Guatemala City, Guatemala",Female,1940-02-02,80,"Aura Elena Farfán is a Guatemalan human rights activist. She is one of the founders and Executive Director of FAMDEGUA, a Guatemala City-based organization dedicated to surviving family members of people who have been disappeared by the Guatemalan government. It is one of Guatemala's oldest human rights organizations. ",https://time.com/collection-post/3822942/aura-elena-farfan-2015-time-100/,Guatemala
426,Martin Blaser,PIONEERS,2015,Professor,"Rutgers, NJ",Male,,0,Martin J. Blaser is the director of the Center for Advanced Biotechnology and Medicine at Rutgers Biomedical and Health Sciences and the Henry Rutgers Chair of the Human Microbiome and professor of medicine and microbiology at the Rutgers Robert Wood Johnson Medical School in New Jersey. ,https://time.com/collection-post/3822950/martin-blaser-2015-time-100/,USA
427,Anita Sarkeesian,PIONEERS,2015,American-Canadian critic,"Ontario, Canada",Female,1905-06-05,37,"Anita Sarkeesian is a Canadian-American feminist media critic and public speaker. She is the founder of Feminist Frequency, a website that hosts videos and commentary analyzing portrayals of women in popular culture. ",https://time.com/collection-post/3822727/anita-sarkeesian-2015-time-100/,Canada
428,Tom Catena,PIONEERS,2015,American physician,"Amsterdam, NY",Male,1964-04-27,56,Thomas Catena is an American physician who has been practising in Gidel in the Nuba Mountains of Sudan since 2008. ,https://time.com/collection-post/3823233/tom-catena-2015-time-100/,USA
429,Rudolph Tanzi,PIONEERS,2015,Professor,"Providence, RI",Male,1905-05-11,62,"Rudolph Tanzi is the Joseph P. and Rose F. Kennedy Professor of Neurology at Harvard University, and Vice-Chair of Neurology, Director of the Genetics and Aging Research Unit, and Co-Director of the Henry and Allison McCance Center for Brain Health at Massachusetts General Hospital. ",https://time.com/collection-post/3823236/rudolph-tanzi-2015-time-100/,USA
430,Mustafa Hassan,PIONEERS,2015,Null,,Male,,0,Null,https://time.com/collection-post/3822966/mustafa-hassan-2015-time-100/,Null
431,Laverne Cox,PIONEERS,2015,American actress,"Mobile, AL",Female,1972-05-29,48,"Laverne Cox is an American actress and LGBTQ+ advocate. She rose to prominence with her role as Sophia Burset on the Netflix series Orange Is the New Black, becoming the first openly transgender person ... ",https://time.com/collection-post/3822970/laverne-cox-2015-time-100/,USA
432,Sarah Koenig,PIONEERS,2015,American journalist,"Sagaponack, NY",Unknown,1969-07-01,51,"Sarah Koenig is an American journalist, public radio personality, former producer of the television and radio program This American Life, and the host and executive producer of the podcast Serial. ",https://time.com/collection-post/3823276/sarah-koenig-2015-time-100/,USA
433,Bradley Cooper,PIONEERS,2015,American actor,"Philadelphia, PA",Male,1975-01-05,45,"Bradley Charles Cooper is an American actor and filmmaker. He has been nominated for many awards, including eight Academy Awards and a Tony Award, and has won two Grammy Awards and a BAFTA Award. ",https://time.com/collection-post/3822978/bradley-cooper-2015-time-100/,USA
434,Richard Linklater,ARTISTS,2015,American film director,"Houston, TX",Male,1960-07-30,60,"Richard Stuart Linklater is an American film director, producer, and screenwriter. He is known for films that revolve mainly around suburban culture and the effects of the passage of time. ",https://time.com/collection-post/3822985/richard-linklater-2015-time-100/,USA
435,Chris Ofili,ARTISTS,2015,British painter,"Manchester, United Kingdom",Male,1968-10-10,52,"Christopher Ofili, CBE is a British Turner Prize-winning painter who is best known for his paintings incorporating elephant dung. He was one of the Young British Artists. Since 2005, Ofili has been living and working in Trinidad and Tobago, where he currently resides in Port of Spain. ",https://time.com/collection-post/3822991/chris-ofili-2015-time-100/,United Kingdom
436,Julianna Margulies,ARTISTS,2015,American actress,"Spring Valley, NY",Female,1966-06-08,54,"Julianna Margulies is an American actress and producer. After several small television roles, Margulies achieved wide recognition for her starring role as Carol Hathaway on NBC's long-running medical drama series ER, for which she received a Primetime Emmy Award. ",https://time.com/collection-post/3822964/julianna-margulies-2015-time-100/,USA
437,Amy Schumer,ARTISTS,2015,American stand-up comedian,"Upper East Side, New York, NY",Female,1981-06-01,39,Amy Beth Schumer is an American stand-up comedian and actress. She ventured into comedy in the early 2000s before appearing as a contestant on the fifth season of the NBC reality competition series Last Comic Standing in 2007. ,https://time.com/collection-post/3823137/amy-schumer-2015-time-100/,USA
438,Alexander Wang,ARTISTS,2015,American fashion designer,"San Francisco, CA",Male,1983-12-26,36,"Alexander Wang is an American fashion designer. Wang began his Alexander Wang fashion brand in 2005 and came to prominence after being awarded the CFDA/Vogue Fashion Fund in 2008. From November 2012 through July 2015, Wang was Creative Director at Balenciaga. ",https://time.com/collection-post/3823143/alexander-wang-2015-time-100/,USA
439,Jill Soloway,ARTISTS,2015,American television director,"Chicago, IL",Female,1965-09-26,55,"Joey Soloway is an American television creator, showrunner, director and writer. Soloway is known for creating, writing, executive producing and directing the Amazon original series Transparent, winning ... ",https://time.com/collection-post/3822910/jill-soloway-2015-time-100/,USA
440,Chris Pratt,ARTISTS,2015,American actor,"Virginia, MN",Male,1979-06-21,41,"Christopher Michael Pratt is an American actor, known for starring in both television and action films. ",https://time.com/collection-post/3822922/chris-pratt-2015-time-100/,USA
441,Audra McDonald,ARTISTS,2015,American actress,West Berlin,Female,1970-07-03,50,"Audra Ann McDonald is an American actress and singer. Primarily known for her work on the Broadway stage, she has won six Tony Awards, more performance wins than any other actor, and is the only person to win all four acting categories. ",https://time.com/collection-post/3822925/audra-mcdonald-2015-time-100/,Null
442,Tim McGraw,ARTISTS,2015,American singer,"Delhi, LA",Male,1967-05-01,53,"Samuel Timothy McGraw is an American singer, actor, and record producer. McGraw has released fifteen studio albums. 10 of those albums have reached number 1 on the Top Country Albums charts, with his 1994 breakthrough album Not a Moment Too Soon being the top country album of 1994. ",https://time.com/collection-post/3822067/tim-mcgraw-2015-time-100/,USA
443,Kevin Hart,ARTISTS,2015,American comedian,"Philadelphia, PA",Male,1979-07-06,41,"Kevin Darnell Hart is an American stand-up comedian, actor, and producer. Born and raised in Philadelphia, Pennsylvania, Hart began his career by winning several amateur comedy competitions at clubs ... ",https://time.com/collection-post/3823293/kevin-hart-2015-time-100/,USA
444,Chimamanda Ngozi Adichie,ARTISTS,2015,Writer,"Enugu, Nigeria",Female,1977-09-15,43,Chimamanda Ngozi Adichie is a Nigerian writer whose works range from novels to short stories to nonfiction. ,https://time.com/collection-post/3823296/chimamanda-ngozi-adichie-2015-time-100/,Nigeria
445,Julianne Moore,ARTISTS,2015,Actress,"Fort Bragg, NC",Female,1960-12-03,60,"Julie Anne Smith, known professionally as Julianne Moore, is an American-British actress and author. ",https://time.com/collection-post/3822884/julianne-moore-2015-time-100/,USA
446,Christopher Nolan,ARTISTS,2015,Film director,"Westminster, London, United Kingdom",Male,1970-07-30,50,"Christopher Edward Nolan CBE is a British-American film director, producer, and screenwriter. His directorial efforts have grossed more than US$5.1 billion worldwide, garnered 34 Oscar nominations and ten wins. Born and raised in London, Nolan developed an interest in filmmaking from a young age. ",https://time.com/collection-post/3822892/christopher-nolan-2015-time-100/,United Kingdom
447,Marie Kondo,ARTISTS,2015,Japanese consultant,"Tokyo, Japan",Female,1984-10-09,36,"Marie Kondo, also known as Konmari, is a Japanese organizing consultant, author, and TV show host. Kondo has written four books on organizing, which have collectively sold millions of copies around the world. ",https://time.com/collection-post/3822899/marie-kondo-2015-time-100/,Japan
448,John Oliver,ARTISTS,2015,2014 ‚Äß News ‚Äß 7 seasons,"London, United Kingdom",Male,,0,"John Oliver won an Emmy for his work as a writer on ""The Daily Show With Jon Stewart,"" but it wasn't until he guest-hosted that show in the summer of 2013 that HBO took notice of his ""singular perspective and distinct voice."" Thanks to that memorable gig, Oliver gets to show off his talent in front … MORE",https://time.com/collection-post/3822865/john-oliver-2015-time-100/,United Kingdom
449,Jorge Ramos,ARTISTS,2015,American-Mexican journalist,"Mexico City, Mexico",Male,1958-03-16,62,"Jorge Gilberto Ramos Ávalos is a Mexican/American journalist and author. Regarded as the best-known Spanish-language news anchor in the United States of America, he has been referred to as ""The Walter Cronkite of Latin America"". ",https://time.com/collection-post/3823152/jorge-ramos-2015-time-100/,Mexico
450,Narendra Modi,LEADERS,2015,Prime Minister of India,"Vadnagar, India",Male,1950-09-17,70,Narendra Damodardas Modi is an Indian politician serving as the 14th and current Prime Minister of India since 2014. He was the Chief Minister of Gujarat from 2001 to 2014 and is the Member of Parliament for Varanasi. ,https://time.com/collection-post/3823155/narendra-modi-2015-time-100/,India
451,Angela Merkel,LEADERS,2015,Chancellor of Germany,"Hamburg, Germany",Female,1954-07-17,66,"Angela Dorothea Merkel is a German politician who has been Chancellor of Germany since 2005. She served as Leader of the Opposition from 2002 to 2005 and as Leader of the Christian Democratic Union from 2000 to 2018. A member of the Christian Democratic Union, Merkel is the first female Chancellor of Germany. ",https://time.com/collection-post/3823146/angela-merkel-2015-time-100/,Germany
452,Bob Corker,LEADERS,2015,Former United States Senator,"Orangeburg, SC",Male,1952-08-24,68,"Robert Phillips Corker Jr. is an American businessman and politician who served as a United States Senator from Tennessee from 2007 to 2019. A member of the Republican Party, he served as Chair of the Senate Foreign Relations Committee from 2015 to 2019. ",https://time.com/collection-post/3823149/bob-corker-2015-time-100/,USA
453,Rula Ghani,LEADERS,2015,First Lady of Afghanistan,Lebanon,Female,1905-05-01,72,"Rula F. Saadah Ghani is the current First Lady of Afghanistan, the wife of the incumbent President of Afghanistan, Ashraf Ghani. In 2015, Rula Ghani was named to the Time 100, a list of the world's most influential people, by Time magazine. ",https://time.com/collection-post/3822997/rula-ghani-2015-time-100/,Null
454,Muhammadu Buhari,LEADERS,2015,President of Nigeria,"Daura, Nigeria",Male,1942-12-17,77,"Muhammadu Buhari GCFR is a Nigerian politician who has been president of Nigeria since 2015. Buhari is a retired Major General of the Nigerian Army and served as military head of state from 1983 to 1985, after taking power in a military coup d'état. ",https://time.com/collection-post/3823002/muhammadu-buhari-2015-time-100/,Nigeria
455,Alexis Tsipras,LEADERS,2015,Leader of the Opposition,"Athens, Greece",Male,1974-07-28,46,"Alexis Tsipras is a Greek politician serving as Leader of the Official Opposition since 2019. The leader of left-wing party Syriza since 2009, he served as Prime Minister of Greece from 2015 to 2019. Tsipras has been Leader of the Coalition of the Radical Left, a left wing political party, since 2009. ",https://time.com/collection-post/3823031/alexis-tsipras-2015-time-100/,Greece
456,Vladimir Putin,LEADERS,2015,President of Russia,"Saint Petersburg, Russia",Male,1952-10-07,68,"Vladimir Vladimirovich Putin is a Russian politician and a former officer of the KGB who has served as President of Russia since 2012, previously holding the position from 1999 until 2008. Putin was born in Leningrad and studied law at Leningrad State University, graduating in 1975. ",https://time.com/collection-post/3822627/vladimir-putin-2015-time-100/,Russia
457,Obiageli Ezekwesili,LEADERS,2015,Nigerian chartered accountant,"Anambra, Nigeria",Female,1963-04-28,57,"Obiageli Ezekwesili, also popularly known as Oby Ezekwesili, is a Nigerian chartered accountant from Anambra state. She was born to father Benjamin Ujubuonu who died in 1988 and mother Cecilia Nwayiaka Ujubuonu who died on 21 June 2020. ",https://time.com/collection-post/3822633/obiageli-ezekwesili-2015-time-100/,Nigeria
458,Elizabeth Warren,LEADERS,2015,United States Senator,"Oklahoma City, OK",Male,1949-06-22,71,"Elizabeth Ann Warren is an American politician and former law professor who is the senior United States senator from Massachusetts, serving since 2013. A member of the Democratic Party and a progressive, Warren has focused on consumer protection, economic opportunity, and the social safety net while in the Senate. ",https://time.com/collection-post/3823064/elizabeth-warren-2015-time-100/,USA
459,Haider Al-Abadi,LEADERS,2015,Former Prime Minister of Iraq,"Baghdad, Iraq",Male,1952-04-25,68,"Haider Jawad Kadhim al-Abadi is an Iraqi politician who was Prime Minister of Iraq from September 2014 until October 2018. Previously he served as Minister of Communication from 2003 to 2004, in the first government after Saddam Hussein was deposed. ",https://time.com/collection-post/3823068/haider-al-abadi-2015-time-100/,Iraq
460,Joko Widodo,LEADERS,2015,President of Indonesia,"Jakarta, Indonesia",Male,,0,"Joko Widodo, also known as Jokowi, is an Indonesian politician who is the 7th and current president of Indonesia. ",https://time.com/collection-post/3823070/joko-widodo-2015-time-100/,Indonesia
461,King Salman bin Abdulaziz Al Saud,LEADERS,2015,Null,"Riyadh, Saudi Arabia",Male,1935-12-31,84,Salman bin Abdulaziz Al Saud has been the King of Saudi Arabia and Custodian of the Two Holy Mosques since 23 January 2015. He was the deputy governor of Riyadh and later the governor of Riyadh for 48 years from 1963 to 2011. He was then appointed Minister of Defense. ,https://time.com/collection-post/3823845/king-salman-2015-time-100/,Saudi Arabia
462,Xi Jinping,LEADERS,2015,General Secretary of the Chinese Communist Party,"Beijing, China",Male,1953-06-15,67,"Xi Jinping is a Chinese politician who has served as General Secretary of the Chinese Communist Party and Chairman of the Central Military Commission since 2012, and President of the People's Republic of China since 2013. ",https://time.com/collection-post/3823847/xi-jinping-2015-time-100/,China
463,Jeb Bush,LEADERS,2015,Former Governor of Florida,"Midland, TX",Male,1953-02-11,67,"John Ellis ""Jeb"" Bush is an American politician who served as the 43rd Governor of Florida from 1999 to 2007. Bush, who grew up in Houston, is the second son of the late former President George H. W. Bush and former First Lady Barbara Bush, and a younger brother of former President George W. Bush. ",https://time.com/collection-post/3823844/jeb-bush-2015-time-100/,USA
464,Tom Frieden,LEADERS,2015,American physician,"New York, NY",Male,1960-12-07,60,"Thomas R. Frieden is an American infectious disease and public health physician. He serves as president and CEO of Resolve to Save Lives, a $225 million, five-year initiative to prevent epidemics and cardiovascular disease. ",https://time.com/collection-post/3823245/tom-frieden-2015-time-100/,USA
465,Samantha Power,LEADERS,2015,Former United States Ambassador to the United Nations,"Castleknock, Ireland",Female,1970-09-21,50,"Samantha Jane Power is an Irish-American academic, and a Pulitzer Prize-winning author who served as the 28th United States Ambassador to the United Nations from 2013 to 2017. She is a member of the Democratic Party. ",https://time.com/collection-post/3823250/samantha-power-2015-time-100/,Ireland
466,Raúl Castro,LEADERS,2015,Former President of the Council of State of Cuba,"Biran, Cuba",Male,1931-06-03,89,"Raúl Modesto Castro Ruz is a Cuban politician who is currently serving as the First Secretary of the Communist Party of Cuba, the most senior position in the communist state, succeeding his brother Fidel Castro in April 2011. ",https://time.com/collection-post/3823257/raul-castro-2015-time-100/,Cuba
467,Kim Jong Un,LEADERS,2015,Supreme Leader of North Korea,"Pyongyang, North Korea",Male,1984-01-08,36,"Kim Jong-un or Kim Jong Un is a North Korean politician serving as Supreme Leader of North Korea since 2011 and the leader of the Workers' Party of Korea since 2012. He is the second child of Kim Jong-il, who was North Korea's second supreme leader from 1994 to 2011, and Ko Yong-hui. ",https://time.com/collection-post/3823848/kim-jong-un-2015-time-100/,North Korea
468,Abubakar Shekau,LEADERS,2015,Null,"Yobe, Nigeria",Male,1973-03-24,47,"Abu Mohammed Abubakar bin Mohammad al-Sheikawi is a Kanuri man known as the current leader of Boko Haram, a Nigerian militant group that has declared loyalty to the Islamist militant group, Islamic State of Iraq and the Levant. ",https://time.com/collection-post/3823849/abubakar-shekau-2015-time-100/,Nigeria
469,Benjamin Netanyahu,LEADERS,2015,Prime Minister of Israel,"Tel Aviv-Yafo, Israel",Male,1949-10-21,71,"Benjamin Netanyahu is an Israeli politician serving as Prime Minister of Israel since 2009, and previously from 1996 to 1999. Netanyahu is also the Chairman of the Likud – National Liberal Movement. ",https://time.com/collection-post/3822851/benjamin-netanyahu-2015-time-100/,Israel
470,Hillary Clinton,LEADERS,2015,Former United States Secretary of State,"Edgewater Hospital, Chicago",Female,1947-10-26,73,"Hillary Diane Rodham Clinton is an American politician, diplomat, lawyer, writer, and public speaker who served as the 67th United States secretary of state from 2009 to 2013, as a United States senator from New York from 2001 to 2009, and as First Lady of the United States from 1993 to 2001. ",https://time.com/collection-post/3823194/hillary-clinton-2015-time-100/,Chicago
471,Martin Dempsey,LEADERS,2015,General,"Jersey City, NJ",Male,1952-03-14,68,"Martin Edward Dempsey, sometimes known as Marty Dempsey, is a retired United States Army general who served as the 18th Chairman of the Joint Chiefs of Staff from October 1, 2011 until September 25, 2015. He previously served as the 37th Chief of Staff of the Army from April 11, 2011, to September 7, 2011. ",https://time.com/collection-post/3823200/martin-dempsey-2015-time-100/,USA
